id,title,price,address,url,property_type,modifiedAt,active,lat,lng
80,"Aproveite kitnet na Várzea, Jardim Petrópolis",R$ 400,"Rua Hugo Napoleão, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/aproveite-kitnet-na-varzea-jardim-petropolis-1324426993,Casas,19/11/2024 22:03:04,True,-8.0382038,-34.9630518
81,Alugo quarto para mulheres,R$ 800,"Rua José Bonifácio, Torre, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-quarto-para-mulheres-1344797898,Aluguel de quartos,19/11/2024 22:03:04,True,-22.377077,-41.7855375
82,Alugo 1  quarto Feminino,R$ 600,"Vila Eliete, Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-1-quarto-feminino-1344765155,Aluguel de quartos,19/11/2024 22:03:04,True,-8.022673,-34.928116
83,casa para alugar,R$ 500,"Rua Borges da Fonseca, Iputinga, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-para-alugar-1344639867,Casas,19/11/2024 22:03:04,True,-8.0478533,-34.9429345
84,Casa para Alugar - Oportunidade Imperdível!,R$ 700,"Avenida Professor Artur de Sá, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-para-alugar-oportunidade-imperdivel-1342967078,Apartamentos,19/11/2024 22:03:04,True,-8.0463426,-34.9559658
85,Casa Ponta de Serrambi 5 Quartos,R$ 800,"Rua Pessoa de Melo, Madalena, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-ponta-de-serrambi-5-quartos-1322649810,Casas,19/11/2024 22:03:04,True,-8.0523679,-34.9075562
86,Aluguel de casa no Cordeiro ,R$ 700,"Rua Joaquim Alheiros, Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluguel-de-casa-no-cordeiro-1344074036,Casas,19/11/2024 22:03:04,True,-8.0459986,-34.9200064
87,A casa fica localizada  em um condomínio  de frente  ao campo de passarinho,R$ 600,"Rua Canário, Passarinho, Recife",https://pe.olx.com.br/grande-recife/imoveis/a-casa-fica-localizada-em-um-condominio-de-frente-ao-campo-de-passarinho-1344050147,Casas,19/11/2024 22:03:04,True,-7.9796402,-34.9173208
88,Alugo kitnet ,R$ 550,"2ª Travessa Cordislândia, Iputinga, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-kitnet-1343870588,Apartamentos,19/11/2024 22:03:04,True,-8.042791,-34.929521
89,Aluga-se Kitnet (Flat/Studio) *INDISPONÍVEL*,R$ 780,"Rua Gaspar Perez, Iputinga, Recife",https://pe.olx.com.br/grande-recife/imoveis/aluga-se-kitnet-flat-studio-indisponivel-1343782183,Apartamentos,19/11/2024 22:03:04,True,-8.0473952,-34.9429101
90,"Kitnet para moças , no coração do Cordeiro.",R$ 700,"Rua Pierre Cúrie, Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/kitnet-para-mocas-no-coracao-do-cordeiro-1343734614,Apartamentos,19/11/2024 22:03:04,True,-8.0453639,-34.9191105
91,Sala comercial próximo UFPE,R$ 800,"Rua Acadêmico Hélio Ramos, Cidade Universitária, Recife",https://pe.olx.com.br/grande-recife/imoveis/sala-comercial-proximo-ufpe-1342005902,Apartamentos,19/11/2024 22:03:04,True,-8.0496718,-34.9546585
